sent_monotonic,phase,rtt_ms,status
76.955900969,1024,0.11491200000079971,pass
76.961151916,1024,0.10442599999294089,pass
76.966392838,1024,0.10053100000106951,pass
76.971631978,1024,0.10671900000147616,pass
76.976877247,1024,0.14300399999456204,pass
76.982160442,1024,0.10292400000366797,pass
76.987402897,1024,0.1032340000080012,pass
76.992649137,1024,0.10706999999854361,pass
76.997899383,1024,0.13316899999438192,pass
77.003181297,1024,0.11613300000590243,pass
77.008425124,1024,0.08477600000844632,pass
77.013653176,1024,0.09884799999326788,pass
77.018903512,1024,0.11771600000543003,pass
77.024165216,1024,0.10183199999858061,pass
77.029409533,1024,0.10052999999743406,pass
77.03464642,1024,0.1018119999969258,pass
77.039882925,1024,0.10621900000273854,pass
77.045139902,1024,0.1043759999959093,pass
77.050377949,1024,0.09365000001082535,pass
77.055608837,1024,0.10390500000312386,pass
77.06085079,1024,0.1308359999967479,pass
77.066145103,1024,0.09829700000807406,pass
77.071383081,1024,0.10992400000020552,pass
77.076630432,1024,0.09461199999805103,pass
77.08184151,1024,0.06746100000043498,pass
77.087043614,1024,0.06014000000220676,pass
77.092216294,1024,0.06476699999780067,pass
77.097388604,1024,0.05295900000135134,pass
77.10255815,1024,0.0585870000122668,pass
77.10773098,1024,0.09405000000128894,pass
77.112933134,1024,0.10540799999603223,pass
77.11813661,1024,0.08246400000189169,pass
77.123313497,1024,0.08105099999511367,pass
77.128493238,1024,0.08248299999991104,pass
77.133675081,1024,0.08534799999893039,pass
77.138859279,1024,0.08486699999821212,pass
77.144042915,1024,0.08625899999969988,pass
77.149237128,1024,0.06673900000464528,pass
77.154405381,1024,0.05419099998960064,pass
77.159560665,1024,0.05335999999545038,pass
77.164714437,1024,0.05307899999706933,pass
77.169874679,1024,0.05639399999779471,pass
77.175043834,1024,0.05631400000538633,pass
77.180204405,1024,0.055513000006612856,pass
77.185372349,1024,0.05560299999274321,pass
77.1905329,1024,0.0534200000004148,pass
77.195693132,1024,0.05436200000019653,pass
77.200894034,1024,0.059089000004064474,pass
77.206086484,1024,0.057577000006858725,pass
77.211252915,1024,0.06261400000084905,pass
77.216417323,1024,0.04685999999765045,pass
77.221563233,1024,0.05151700000283199,pass
77.226712798,1024,0.0468600000118613,pass
77.231857577,1024,0.046960000005924485,pass
77.237014523,1024,0.04773199999874578,pass
77.242176257,1024,0.055883000001699656,pass
77.24733747,1024,0.050224999995407416,pass
77.252497231,1024,0.054230999992910256,pass
77.257662931,1024,0.05744599999957245,pass
77.262827078,1024,0.05559299999902123,pass
77.268058005,1024,0.06828200000086326,pass
77.273273159,1024,0.1187969999989491,pass
77.278538067,1024,0.10898300000405925,pass
77.283783336,1024,0.10314400000766,pass
77.289033372,1024,0.0841549999961444,pass
77.294253062,1024,0.0993490000098518,pass
77.299489397,1024,0.10771200000192493,pass
77.304733895,1024,0.10560799999836945,pass
77.309978683,1024,0.10779100000490871,pass
77.315223151,1024,0.1061180000050399,pass
77.320467458,1024,0.10467700001015601,pass
77.325711445,1024,0.11531200000547415,pass
77.330972297,1024,0.10441700000285437,pass
77.336223635,1024,0.11271799999690302,pass
77.341490516,1024,0.11644399999966026,pass
77.346754753,1024,0.10506700000689762,pass
77.352019902,1024,0.11173700001165798,pass
77.357275526,1024,0.09796700000208602,pass
77.362520694,1024,0.10566800000333387,pass
77.367764061,1024,0.09862699999985125,pass
77.372997051,1024,0.09535200000243549,pass
77.378228549,1024,0.09965899999997418,pass
77.383465125,1024,0.10489699999993718,pass
77.388706638,1024,0.10005000000035125,pass
77.393946208,1024,0.14302399999621684,pass
77.399233079,1024,0.10458600000617935,pass
77.404478839,1024,0.10696999999026957,pass
77.40972582,1024,0.11128599999210564,pass
77.414980092,1024,0.10976500000481337,pass
77.420235526,1024,0.10600900000667934,pass
77.425494134,1024,0.1132399999903555,pass
77.430755538,1024,0.10512699999765118,pass
77.436018493,1024,0.07992999999828498,pass
77.441244222,1024,0.10406600000578692,pass
77.446494038,1024,0.11264900000185207,pass
77.451742872,1024,0.10748100000057548,pass
77.456984065,1024,0.09789599999976417,pass
77.462217396,1024,0.09910800000056952,pass
77.467453401,1024,0.10492699999531396,pass
77.472694784,1024,0.10751000000652766,pass
77.477941164,1024,0.13961899999515026,pass
77.483227684,1024,0.10649000000739761,pass
77.488476048,1024,0.09938899999895057,pass
77.493718622,1024,0.11557300000220039,pass
77.498977572,1024,0.11581299999363637,pass
77.504238854,1024,0.11432200000172088,pass
77.509504654,1024,0.11291900000287569,pass
77.514765105,1024,0.10528800000031424,pass
77.520046017,1024,0.0988379999995459,pass
77.52526686,1024,0.07654399999523775,pass
77.530451087,1024,0.05789699999070308,pass
77.53560566,1024,0.04645999999297601,pass
77.540745782,1024,0.04507699999578563,pass
77.5458837,1024,0.04598900000019057,pass
77.551033175,1024,0.046549999993317215,pass
77.556179186,1024,0.049774000004276786,pass
77.561327149,1024,0.047010000002956076,pass
77.566470195,1024,0.050966000003427325,pass
77.571620441,1024,0.051036000002113724,pass
77.576770468,1024,0.0509759999971493,pass
77.58192452,1024,0.0535599999977876,pass
77.587083059,1024,0.051627000004828005,pass
77.592288498,1024,0.1125879999932522,pass
77.597547257,1024,0.10084999999548927,pass
77.602792726,1024,0.09975899999403737,pass
77.608050904,1024,0.11668500000894255,pass
77.613314661,1024,0.10894300000074963,pass
77.618565017,1024,0.10619900000108373,pass
77.62380661,1024,0.10167300000318846,pass
77.629055374,1024,0.10650899999120611,pass
77.634299201,1024,0.10286399999870355,pass
77.639537239,1024,0.10303399999145313,pass
77.644779172,1024,0.08030099999700724,pass
77.649995188,1024,0.07412099999726252,pass
77.655181919,1024,0.06390500000463817,pass
77.660350743,1024,0.050385000008645875,pass
77.665508741,1024,0.05380100000706989,pass
77.670668151,1024,0.0469309999999723,pass
77.675824247,1024,0.058858000002715016,pass
77.680989836,1024,0.07028500000672011,pass
77.686169747,1024,0.052689000000327724,pass
77.691332733,1024,0.053160000007324015,pass
77.696489549,1024,0.05078599998853406,pass
77.701641468,1024,0.049524999994332575,pass
77.706785946,1024,0.044927000004690854,pass
77.711971686,1024,0.11147700000435634,pass
77.717218998,1024,0.08829199998672266,pass
77.722448788,1024,0.07805700001028981,pass
77.727671003,1024,0.07719500000291646,pass
77.732887548,1024,0.07989000000918622,pass
77.738106128,1024,0.07723500000622607,pass
77.743324325,1024,0.08078099999409005,pass
77.748547862,1024,0.07727599999896029,pass
77.753770417,1024,0.08069999999804622,pass
77.758999621,1024,0.09385100000258717,pass
77.764246031,1024,0.08642000000236294,pass
77.769480124,1024,0.08107099999676848,pass
77.77471085,1024,0.08993499999121468,pass
77.779949079,1024,0.09619399999394318,pass
77.785188819,1024,0.07762600000660314,pass
77.79040211,1024,0.07544300000006388,pass
77.795612106,1024,0.07336000000179865,pass
77.8008207,1024,0.07536299999344465,pass
77.806046089,1024,0.07217799999637009,pass
77.811237317,1024,0.0748719999990044,pass
